,,"23110000100100200001 Общий прирост постоянного населения","23110000100100200001 Общий прирост постоянного населения","23110000100100200001 Общий прирост постоянного населения","23110000100100200001 Общий прирост постоянного населения","23110000100100200001 Общий прирост постоянного населения","23110000100100200001 Общий прирост постоянного населения","23110000100100200001 Общий прирост постоянного населения"
,,"2016 г.","2017 г.","2018 г.","2019 г.","2020 г.","2021 г.","2022 г."
"все население",w2:p_mest:11,,,,,,,
"Российская Федерация",643,"259662","76060","-99712","-32130","-577575","-613439","-532637"
"Центральный федеральный округ",030,"105263","101831","66646","55497","-182596","-146560","-57776"
"Белгородская область",14000000000,"2728","-2989","-2458","1733","-7892","-9342","-21939"
"Брянская область",15000000000,"-5211","-9548","-10795","-7696","-9809","-13911","-12130"
"Владимирская область",17000000000,"-7569","-11262","-12532","-7389","-16317","-18440","-16725"
"Воронежская область",20000000000,"1931","-1640","-5947","-3616","-18597","-17930","-17335"
"Ивановская область",24000000000,"-6668","-8524","-10466","-7045","-10103","-10114","-9389"
"Калужская область",29000000000,"4798","-2414","-2776","-6805","-1595","11864","-2399"
"Костромская область",34000000000,"-3293","-4833","-6057","-3882","-4962","-7647","-6096"
"Курская область",38000000000,"2874","-7656","-8196","-3033","-7520","-12904","-11122"
"Липецкая область",42000000000,"128","-6020","-6166","-4664","-11179","-14512","-11877"
"Московская область",46000000000,"104823","79915","96262","91216","17636","60379","49479"
"Орловская область",54000000000,"-4905","-7569","-7780","-5969","-8812","-10592","-9747"
"Рязанская область",61000000000,"-3364","-5265","-7337","-5290","-10590","-13105","-9661"
"Смоленская область",66000000000,"-5429","-3853","-6985","-7474","-13762","-11271","-13859"
"Тамбовская область",68000000000,"-9968","-6775","-17586","-9218","-12328","-13436","-12921"
"Тверская область",28000000000,"-7945","-12926","-14237","-9257","-14760","-15429","-14855"
"Тульская область",70000000000,"-7029","-7562","-13037","-12691","-17012","-16545","-15219"
"Ярославская область",78000000000,"-1176","-5052","-6072","-6223","-11965","-14041","-11032"
"Город Москва столица Российской Федерации город федерального значения",45000000000,"50538","125804","108811","62800","-23029","-19584","89051"
"Северо-Западный федеральный округ",031,"45616","52693","20067","9922","-40033","-40890","-42488"
"Республика Карелия",86000000000,"-2792","-4599","-4428","-3992","-4993","-6004","-4504"
"Республика Коми",87000000000,"-6277","-9681","-10638","-9762","-6883","-10113","-7929"
